full_title,locality,bhk,price,price_per_sqft,area_sqft,area_type,status,rera_flag,bathrooms,furnishing,verified,dealer_name,updated_on,project_name
"3 BHK Flat in Sector 9 Ulwe, Navi Mumbai","Sector 9 Ulwe, Navi Mumbai",3 BHK,"₹60,000",₹30 /sqft,"1,600",Built-up Area,Under Construction,No,N/A,Furnished,Yes,NestGuru Realtors Pvt. Ltd.,2w ago,Raunak Bliss
"1 BHK Flat in Kasar Vadavali, Thane","Kasar Vadavali, Thane",1 BHK,"₹25,000",₹58 /sqft,430,Carpet Area,Under Construction,No,N/A,Furnished,Yes,JMD Real Estate,2w ago,N/A
"1 BHK Flat in Khar West, Mumbai","Khar West, Mumbai",1 BHK,"₹30,000",₹120 /sqft,250,Carpet Area,Under Construction,No,1,Furnished,No,N/A,N/A,N/A
"1 BHK Flat in Breach Candy, Cumbala Hill, Mumbai","Breach Candy, Cumbala Hill, Mumbai",1 BHK,"₹50,000",₹125 /sqft,400,Carpet Area,Under Construction,No,1,Furnished,No,N/A,N/A,N/A
"3 BHK Flat in Nahar Amrit Shakti, Chandivali","Nahar Amrit Shakti, Chandivali",3 BHK,"₹35,000",₹26 /sqft,"1,300",Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,N/A,N/A
"1 BHK Flat in Churchgate, Mumbai","Churchgate, Mumbai",1 BHK,"₹12,000",₹40 /sqft,300,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,N/A,N/A
"3 BHK Flat in Vikhroli West, Mumbai","Vikhroli West, Mumbai",3 BHK,"₹14,000",₹14 /sqft,950,Carpet Area,Under Construction,No,N/A,Furnished,Yes,N/A,3w ago,N/A
"2 BHK Flat in MIG Colony, Kurla, Mumbai","MIG Colony, Kurla, Mumbai",2 BHK,"₹11,000",₹14 /sqft,780,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,N/A,N/A
"3 BHK Flat in Andheri East, Mumbai","Andheri East, Mumbai",3 BHK,"₹34,000",₹32 /sqft,"1,050",Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,6d ago,N/A
"Studio Apartments / 1 RK Flats in Colaba, Mumbai","Colaba, Mumbai",N/A,"₹30,000",₹120 /sqft,250,Super Built-up Area,Under Construction,No,1,N/A,No,Krishna Realty,2w ago,N/A
"3 BHK Flat in Goregaon West, Mumbai","Goregaon West, Mumbai",3 BHK,₹3.29,"₹36,508 /sqft","1,088",Carpet Area,Ready To Move,Yes,N/A,N/A,No,N/A,6d ago,N/A
"2 BHK Flat in Chembur, Mumbai","Chembur, Mumbai",2 BHK,"₹33,000",₹44 /sqft,749,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,3d ago,N/A
"2 BHK Flat in Parel East, Mumbai","Parel East, Mumbai",2 BHK,"₹90,000",₹81 /sqft,"1,100",Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,N/A,N/A
"4 Bedroom House in Mulund Colony, Mulund West","Mulund Colony, Mulund West",N/A,"₹6,500",₹7 /sqft,900,N/A,Under Construction,No,N/A,Furnished,No,N/A,N/A,N/A
"1 BHK Flat in Andheri East, Mumbai","Andheri East, Mumbai",1 BHK,"₹10,000",₹20 /sqft,500,Carpet Area,Under Construction,No,N/A,Furnished,Yes,N/A,6d ago,N/A
"2 BHK Flat in Sambhaji Nagar, Vile Parle","Sambhaji Nagar, Vile Parle",2 BHK,"₹13,500",₹14 /sqft,900,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,N/A,N/A
"3 BHK Flat in Churchgate, Mumbai","Churchgate, Mumbai",3 BHK,"₹15,000",₹60 /sqft,251,Carpet Area,Under Construction,No,N/A,Furnished,No,N/A,N/A,N/A
