project_name,configuration,locality,2bhk_price,3bhk_price,3.5bhk_price,average_price,possession_date,updated_on,rera_flag,ready_to_move,builtup_area
housing-logo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Navnath Jayas,"1, 2, 3 BHK Flats",Goregaon East,₹1.64 C,₹2.51 C,N/A,₹30 K/sq.ft,"Dec, 2027",5d ago,Yes,No,N/A
Gurukrupa Marina Enclave,"2, 3 BHK Flats",Malad West,₹1.61 C,₹2.13 C,N/A,₹25.44 K/sq.ft,"Sep, 2019",2w ago,Yes,No,N/A
DGS Sheetal Tapovan,"1, 2, 3 BHK Flats",Malad East,₹1.41 C,₹1.89 C,N/A,₹27.94 K/sq.ft,"May, 2024",5d ago,Yes,No,N/A
Hubtown Seasons,"2, 3, 4 BHK Flats",Chembur,₹3.19 C,₹4.62 C,N/A,₹24 K/sq.ft,"Jul, 2025",N/A,Yes,No,N/A
Ajmera Manhattan Building 4A And 4B,"2, 3, 4 BHK Flats",Wadala East,₹2.95 C,₹4.41 C,N/A,₹35.59 K/sq.ft,"Jul, 2030",2w ago,Yes,No,N/A
S B Azura Height,2 BHK Flat,Jogeshwari West,₹2.03 C,N/A,N/A,₹28.98 K/sq.ft,"Dec, 2030",2w ago,Yes,No,N/A
HS Jewel,"1, 2, 3 BHK Flats",Mulund East,₹1.47 C,₹2.31 C,N/A,₹28.01 K/sq.ft,"Jun, 2029",5d ago,Yes,No,N/A
Kolte Patil Serenova,"2, 2.5, 3 BHK Flats",Andheri West,₹3.19 C,₹4.91 C,N/A,₹47.8 K/sq.ft,"May, 2029",5d ago,Yes,No,N/A
CKV Signature Residences,"2, 2.5, 3 BHK Flats",Mulund East,₹1.99 C,₹3.18 C,N/A,₹26.49 K/sq.ft,"Dec, 2031",3w ago,Yes,No,N/A
Shreeji Aikyam,"2, 3, 4 BHK Flats",Kandivali West,₹1.9 C,₹2.56 C,N/A,₹26.15 K/sq.ft,"Dec, 2028",2w ago,Yes,No,N/A
Lodha Vero,"3, 4 BHK Flats",Sion,N/A,₹8.66 C,N/A,₹48.27 K/sq.ft,"Apr, 2028",3w ago,Yes,No,N/A
Ashwin Prem Arun,"2, 3 BHK Flats",Mulund East,₹1.67 C,₹2.38 C,N/A,₹27 K/sq.ft,"Aug, 2028",2w ago,Yes,No,N/A
Sugee Greendale Estates,"1, 2 BHK Flats",Mulund West,₹1.33 C,N/A,N/A,₹22.39 K - 23.68 K/sq.ft,"Dec, 2029",N/A,Yes,No,N/A
Reyanshp Vihang Avaana,"1, 2 BHK Flats",Mira Road East,₹1.23 C,N/A,N/A,₹18.14 K - 20.1 K/sq.ft,"Dec, 2031",5d ago,Yes,No,N/A
Pranav You And I CHSL,2 BHK Flat,Andheri West,₹2.75 C,N/A,N/A,₹39 K/sq.ft,"Feb, 2029",3w ago,Yes,No,N/A
Vida Crest,"1, 2 BHK Flats",Byculla,₹2.49 C,N/A,N/A,₹40.23 K - 44.31 K/sq.ft,"Dec, 2028",5d ago,Yes,No,N/A
Godrej Sky Terraces,"3, 4 BHK Flats",Anushakti Nagar,N/A,₹6.22 C,N/A,₹46.59 K/sq.ft,"Jun, 2029",2w ago,Yes,No,N/A
AV Pearl,"1, 2 BHK Flats",Virar East,₹46.67 L - 52.8 L,N/A,N/A,₹8.76 K/sq.ft,"Dec, 2030",2w ago,Yes,No,N/A
Mehta Ganesh Dham,"2, 3, 4.5 BHK Flats",Mulund East,₹1.53 C,₹2.56 C,N/A,₹27 K/sq.ft,"Dec, 2029",5d ago,Yes,No,N/A
GHP Mars Suncity Housing Phase II,"1, 2 BHK Flats",Powai,₹1.7 C,N/A,N/A,₹28.11 K/sq.ft,"Dec, 2026",5d ago,Yes,No,N/A
Shreeji Shraddha,"1, 2 BHK Flats",Ghatkopar East,₹1.6 C,N/A,N/A,₹26.32 K/sq.ft,"Jun, 2028",2w ago,Yes,No,N/A
Mahindra Codename64,"2, 3 BHK Flats",Malad West,₹2.62 C,₹3.35 C,N/A,₹35.92 K/sq.ft,"Dec, 2029",5d ago,Yes,No,N/A
Lodha Park,"2, 3, 4, 5 BHK Flats",Lower Parel,₹4.93 C,₹6.14 C,N/A,₹58.73 K/sq.ft,"Dec, 2025",N/A,Yes,No,N/A
Ekta Parksville Phase III,"1, 2, 3 BHK Flats",Virar West,₹61.1 L,₹87.75 L,N/A,₹6.5 K/sq.ft,"Dec, 2023",5d ago,Yes,No,N/A
UK Iona C Wing,2 BHK Flat,Andheri East,₹1.41 C,N/A,N/A,₹28.12 K/sq.ft,"Dec, 2027",3w ago,Yes,No,N/A
Dipti Opal Bay,"2, 3, 3.5, 5.5 BHK Flats",Shivaji Park,₹3.94 C,₹5.78 C,₹9.89 C,₹55 K/sq.ft,"Dec, 2028",N/A,Yes,No,N/A
Raj Legacy Satyam A and B,"1, 2, 3 BHK Flats",Mira Road East,₹1.21 C,₹1.6 C,N/A,₹18.84 K - 19.83 K/sq.ft,"May, 2031",1w ago,Yes,No,N/A
Rishabraj Forest Front,"1, 2, 3 BHK Flats",Borivali East,₹1.24 C,₹2.53 C,N/A,₹25 K/sq.ft,"Dec, 2028",3w ago,Yes,No,N/A
Bombay Island City Center,"3, 4 BHK Flats",Wadala,N/A,₹5.42 C,N/A,₹33.64 K/sq.ft,"Mar, 2026",5d ago,Yes,No,N/A
Flats,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
"2 BHK Flat in Ghatkopar East, Mumbai",[2 BHK Flat,Ghatkopar East,N/A,N/A,N/A,N/A,N/A,2w ago,Yes,Yes,700 sq.ft
"3 BHK Flat in Malad West, Mumbai",[3 BHK Flat,Malad West,N/A,N/A,N/A,N/A,N/A,1w ago,No,Yes,1560 sq.ft
Ruparel Panache,3 BHK Flat,Santacruz West,N/A,₹6.24 C,N/A,₹56.88 K/sq.ft,"Dec, 2025",2w ago,Yes,No,N/A
"3 BHK Flat in Goregaon East, Mumbai",[3 BHK Flat,Goregaon East,N/A,N/A,N/A,N/A,N/A,4d ago,Yes,Yes,1360 sq.ft
Adani Linkbay Residences Phase 1,"2, 3, 4 BHK Flats",Andheri West,₹2.96 C,₹3.9 C,N/A,₹38.02 K - 45 K/sq.ft,"Oct, 2028",2w ago,Yes,No,N/A
Shantee Sunshine Residency,"1 RK, 1, 2 BHK Flats",Vasai East,₹38.76 L - 44.79 L,N/A,N/A,₹7.87 K/sq.ft,"Dec, 2025",5d ago,Yes,No,N/A
L And T Emerald Isle,"1, 2, 3, 4 BHK Flats",Powai,₹1.69 C,₹3.12 C,₹3.79 C,₹33.58 K/sq.ft,"Dec, 2024",1w ago,Yes,No,N/A
I Stay Project,2 BHK Flat,Andheri East,₹1.57 C,N/A,N/A,₹25.7k/sq.ft,"Oct, 2028",6d ago,Yes,No,N/A
Paradigm Anantaara,"2, 3, 3.5, 5.5, 6 BHK Flats",Borivali West,₹2.38 C,₹3.86 C,₹4.83 C,₹34.06 K/sq.ft,"Dec, 2030",6d ago,Yes,No,N/A
"4 BHK Flat in Malad West, Mumbai",[4 BHK Flat,Malad West,N/A,N/A,N/A,N/A,N/A,1w ago,Yes,Yes,1800 sq.ft
"3 BHK Flat in Bandra East, Mumbai",[3 BHK Flat,Bandra East,N/A,N/A,N/A,N/A,N/A,1d ago,Yes,Yes,1075 sq.ft
RUPAREL VIVANZA,"2, 3 BHK Flats",Byculla,₹2.55 C,₹3.98 C,N/A,₹37.37 K - ₹40.16 K/sq.ft,"Nov, 2027",2w ago,Yes,No,N/A
Chandak GreenAiry,"1, 2, 3, 3.5, 4, 4.5 BHK Flats",Borivali East,₹1.95 C,₹2.66 C,₹3.34 C,₹31.55 K/sq.ft,"Jun, 2028",5d ago,Yes,No,N/A
"2 BHK Flat in Goregaon West, Mumbai",[2 BHK Flat,Goregaon West,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,1000 sq.ft
Paramount Enclave Phase 1,"1 RK, 1, 2 BHK Flats",Palghar,₹31.09 L - 33.5 L,N/A,N/A,₹5.87 K/sq.ft,"Nov, 2024",2w ago,Yes,No,N/A
DGS Sheetal Tapovan,"1, 2, 3 BHK Flats",Malad East,₹1.41 C,₹1.89 C,N/A,₹27.94 K/sq.ft,"May, 2024",5d ago,Yes,No,N/A
Sai Swaroop,"1, 3 BHK Flats",Chembur,N/A,₹2.18 C,N/A,₹27.86 K/sq.ft,"Dec, 2027",5d ago,Yes,No,N/A
Pratha Codename Zero,"1, 2, 3 BHK Flats",Goregaon East,₹1.78 C,₹3.13 C,N/A,₹27 K - 28.5 K/sq.ft,"Dec, 2029",2w ago,Yes,No,N/A
"3 BHK Flat in Vile Parle West, Mumbai",[3 BHK Flat,Vile Parle West,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,1800 sq.ft
Ruparel Orion,"1, 2, 3 BHK Flats",Chembur,₹2.17 C,₹2.48 C,N/A,₹25.89 K/sq.ft,"Jun, 2021",N/A,Yes,No,N/A
